,Sr No,Date,StartupName,IndustryVertical,SubVertical,CityLocation,InvestorsName,InvestmentnType,AmountUSD,Remarks
1561,1562,7/21/2016,Wiwigo,Consumer Internet,Inter-City Taxi Booking platform,Bengaluru,Indian Angel Network,Seed Funding,"5,95,000",
1562,1563,7/21/2016,Drums Food,Food & Beverage,Yogurt and Ice Cream maker,Mumbai,"Verlinvest, DSG Consumer Partners",,nan,
1563,1564,1/6/2016,Chikoop,Consumer Internet,Free Ad based Voice Calling,Indore,Undisclosed Investors,Seed Funding,nan,
1564,1565,1/6/2016,BRIDGEi2I,Technology,Data Analytics Platform,Bengaluru,Edelweiss Private Equity,Private Equity,nan,
1565,1566,2/6/2016,Droom,eCommerce,Online marketplace for used automobiles,New Delhi,"Beenext, Digital Garage, Lightbox, Beenos",Private Equity,nan,
1566,1567,2/6/2016,Visit,Consumer Internet,On-Demand Healthcare Service provider,New Delhi,MapmyIndia,Seed Funding,nan,
1567,1568,2/6/2016,Atomberg,Technology,"smart, energy efficient home appliance manufacturer",Mumbai,Parampara Capital,Private Equity,"10,00,000",
1568,1569,2/6/2016,Coutloot,eCommerce,Fashion Re-Commerce Platform,Mumbai,Venture Catalysts,Seed Funding,nan,
1569,1570,2/6/2016,Limo,Consumer Internet,Bus Aggregator Mobile app,Mumbai,Rainmaker Ventures,Private Equity,"10,00,000",
1570,1571,3/6/2016,iCliniq,Consumer Internet,Doctor Consultation platform,Bengaluru,MadhanKumar Madathupalayam,Seed Funding,nan,
1571,1572,3/6/2016,GoGo Truck,Consumer Internet,Truck Aggregator & Booking platform,Chennai,Undisclosed Investors,Seed Funding,"75,000",
1572,1573,3/6/2016,Vyome Biosciences,Healthcare,Treatment Development for Antibiotic-resistant diseases,New Delhi,Romulus Capital,Private Equity,"20,00,000",
1573,1574,6/6/2016,SillyMonks,Consumer Internet,Digital Media and Entertainment Startup,Hyderabad,Sreenivasa Reddy Musani,Seed Funding,"4,48,000",
1574,1575,7/6/2016,CueMath,Education,K-12 Maths Learning Courses,Bengaluru,"Sequoia Capital, Unitus Seed Fund",Private Equity,"40,00,000",
1575,1576,7/6/2016,KrazyBee,Consumer Internet,Student Micro-Loan platform,Bengaluru,"Yeahmobi, Fenqile",Private Equity,"20,00,000",
1576,1577,7/6/2016,Intgrea,Technology,Post merger Integration Partners,Bengaluru,Undisclosed Investors,Seed Funding,"1,00,000",
1577,1578,7/6/2016,HelpShift,Technology,Mobile CRM Platform,Pune,"Microsoft Ventures, Salesforce Ventures",Private Equity,"2,30,00,000",
1578,1579,7/6/2016,CreditVidya,Technology,Credit Scoring Platform,Mumbai,Kalaari Capital,Private Equity,"10,00,000",
1579,1580,8/6/2016,Grey Campus,Consumer Internet,Online Learning Platform,Hyderabad,Sarath Sura,Seed Funding,"10,00,000",
1580,1581,8/6/2016,ListUp,eCommerce,Location based Classified Mobile app,Mumbai,"Kae Capital, Kunal Shah, Sandeep Tandon",Seed Funding,"5,00,000",
1581,1582,8/6/2016,6Degree,Technology,Tech-enabled Fashion Talent platform,Mumbai,Indian Angel Network,Seed Funding,"2,00,000",
1582,1583,8/6/2016,Shopwati,Consumer Internet,Online Fashion Discussion Community,Gurgaon,Sanjiv Rai,Seed Funding,nan,
1583,1584,8/6/2016,Cookifi,Consumer Internet,Online Chef Discovery & Booking Service,Bengaluru,"Kunal Shah, Aneesh Reddy, Tracxn Labs, Venkat Tadanki, Krishna Mehra, Amit Rathore",Seed Funding,nan,
1584,1585,8/6/2016,StoreKing,eCommerce,Connecting Small Town Consumers to E-Commerce,Bengaluru,Axiata Digital,Private Equity,"1,60,00,000",
1585,1586,8/6/2016,Wired Hub,Real Estate,Co-Working Spaces,Jaipur,"Ankit Maheshwari, Anand Singh",Seed Funding,nan,
1586,1587,8/6/2016,MySeniorDoctor,Consumer Internet,Online medical support platform,Gurgaon,BlackJag Partners,Seed Funding,"2,00,000",
1587,1588,9/6/2016,Teabox,eCommerce,Online Tea Store,Siliguri,Cameron Jones,Seed Funding,nan,
1588,1589,9/6/2016,ExtraaEdge,Consumer Internet,Student Acquisition Platform,Pune,"Ritesh Dwivedy, Priti Padhy",Seed Funding,nan,
1589,1590,9/6/2016,EPayLater,Technology,Fin-Tech Platform,Mumbai,3 undisclosed HNIs,Seed Funding,"20,00,000",
1590,1591,10/6/2016,Kyazoonga,eCommerce,Online event ticketing Platform,Mumbai,Ratan Tata,Seed Funding,nan,
1591,1592,10/6/2016,Paytunes,Consumer Internet,Mobile based rewards platform,New Delhi,"CIO Angel Network, Indian Angel Network",Private Equity,"5,00,000",
1592,1593,10/6/2016,Kickstart Jobs,Technology,Entry level hiring platform,Gurgaon,"Vivek Joshi, Mohit Satyanand, Amit Banati, Arun Khanna",Seed Funding,nan,
1593,1594,10/6/2016,Freshee,FMCG,Household packaging & Storage product manufacturer,Mumbai,Edelweiss Private Equity,Private Equity,nan,
1594,1595,10/6/2016,MadRat Games,Technology,Wearable Gaming Platform,Bengaluru,"Ratan Tata, Bhavish Aggarwal, Ankit Bhati, Binny Bansal, Girish Mathrubootham",Seed Funding,nan,
1595,1596,11/6/2016,Jazzmyride,eCommerce,Auto Parts & Accessories eTailer,New Delhi,TVS Automobile Solutions Ltd,Private Equity,nan,
1596,1597,11/6/2016,AutoSense,Technology,Data Analytics based Customer Management Services,New Delhi,TVS Automobile Solutions Ltd,Private Equity,nan,
1597,1598,11/6/2016,Redsun Telematics,Consumer Internet,Internet of Things Platform,Chennai,TVS Automobile Solutions Ltd,Private Equity,nan,
1598,1599,6/13/2016,KhanaGadi,Consumer Internet,Online Food Delivery for Train Travelers,Jaipur,50K Ventures,Seed Funding,nan,
1599,1600,6/13/2016,Bombay Shirt Company,eCommerce,Online custom Shirt retailer,Mumbai,undisclosed investor,Private Equity,"10,00,000",
1600,1601,6/13/2016,Matrubharti,Consumer Internet,e-Book Publisher,,Viridian Capital,Seed Funding,"30,000",
1601,1602,6/14/2016,EdTechReview,Consumer Internet,Education based online portal,New Delhi,EVC Ventures,Seed Funding,nan,
1602,1603,6/14/2016,Bonhomia,Food & Beverage,Premium Tea & Coffee Capsules maker,New Delhi,Valpro Capital and existing investors,Private Equity,nan,
1603,1604,6/14/2016,Gobolt,Logistics,B2B Logistics provider,New Delhi,MCube8,Seed Funding,nan,
1604,1605,6/14/2016,Jivox,Technology,Data Driven Advertising platform,Bengaluru,"You & Mr Jones, Fortisure Ventures, Diaz Nesamoney",Private Equity,"60,00,000",
1605,1606,6/14/2016,Sminq,Consumer Internet,Queue management Mobile app,Pune,"Saama Capital, Blume Ventures & Vaibhav Domkundwar",Seed Funding,"10,00,000",
1606,1607,6/14/2016,CureJoy,Consumer Internet,Online Alternative health community platform,Bengaluru,Accel Partners India,Private Equity,"44,00,000",
1607,1608,6/15/2016,Oneway.cab,Consumer Internet,Taxi Rental Platform,Vadodara,Indian Angel Network,Seed Funding,"4,50,000",
1608,1609,6/15/2016,GrabOnRent,eCommerce,On-demand product rental marketplace,Bengaluru,IvyCap Ventures and Unicorn India Ventures,Private Equity,nan,
1609,1610,6/16/2016,Diro Labs,Consumer Internet,Contact Management Mobile App,New Delhi,Info Edge (India) Ltd,Private Equity,"4,50,000",
1610,1611,6/16/2016,Unnati Helpers,Consumer Internet,Help Hiring Platform,Gurgaon,Info Edge (India) Ltd,Private Equity,"6,00,000",
1611,1612,6/16/2016,Athletto,Consumer Internet,Sports Venue discovery and booking platform,Bengaluru,Atul Ingle,Seed Funding,nan,
1612,1613,6/16/2016,Saavn,Consumer Internet,Web/Mobile Music Streaming service,USA,Guy Oseary,Private Equity,nan,
1613,1614,6/16/2016,Voonik,eCommerce,Online Women\\xe2\\x80\\x99s Fashion Marketplace,Bengaluru,Sequoia Capital,Private Equity,"2,00,00,000",
1614,1615,6/16/2016,ThinkPhi,Technology,Sustainable Green Tech Solution developer,Mumbai,Nimmagadda Prasad,Seed Funding,nan,
1615,1616,6/17/2016,Cleartax,Consumer Internet,Online Tax Filing Platform,New Delhi,"Ravi Adusumalli, SAIF Partners",Private Equity,"1,20,00,000",
1616,1617,6/17/2016,Silvan Innovation Labs,Technology,Home Automation Solutions,Bengaluru,Infuse Ventures,Private Equity,"9,00,000",
1617,1618,6/17/2016,GreytHR,Technology,Payroll & HR Software Developer,Bengaluru,"New Enterprise Associates (NEA), Blume Ventures",Private Equity,"52,00,000",
1618,1619,6/17/2016,Duffl,eCommerce,Fashion Rental Marketplace,Bengaluru,BetOnIndia Technology Pvt Ltd,Seed Funding,nan,
1619,1620,6/17/2016,BYG,Consumer Internet,Fitness centre Discovery & Booking Mobile app,Bengaluru,"Sanjay Verma, Amit Khanna (LetsVenture)",Seed Funding,nan,
1620,1621,6/20/2016,Dipper,eCommerce,Freight Logistics Marketplace,New Delhi,Undisclosed investor,Seed Funding,nan,
1621,1622,6/20/2016,Qonfuse,Consumer Internet,Online Test Papers for competitive exams,New Delhi,Hamraj Kumar,Seed Funding,nan,
1622,1623,6/20/2016,The Indian IRIS,Consumer Internet,Govt Policy Research & Information portal,Ahmedabad,Timbru Ventures,Seed Funding,nan,
1623,1624,6/21/2016,Onspoon,Consumer Internet,Online Platform for Event Sponsorship,Mumbai,Swan Angel Network,Seed Funding,"1,50,000",
1624,1625,6/21/2016,REstate,Consumer Internet,Real Estate Platform,Bengaluru,Idein Ventures,Seed Funding,nan,
1625,1626,6/21/2016,Cleartrip,Consumer Internet,Online Travel Agency,Mumbai,"Concur Technologies, Gund Investment",Private Equity,nan,
1626,1627,6/21/2016,ProcMart,Consumer Internet,Online Procurement Marketplace,Noida,IndiaMart,Private Equity,nan,
1627,1628,6/21/2016,Celerix,Technology,Fintech Product Development & Services Startup,Bengaluru,Bitkemy Ventures,Seed Funding,"4,00,000",
1628,1629,6/21/2016,NatureNama,Consumer Internet,Online Outdoors & travel,Mumbai,Unicorn Venture,Seed Funding,"2,25,000",
1629,1630,6/21/2016,CyclopsMedtech,Technology,Medical Technology Provider,Bengaluru,CP Bothra,Seed Funding,nan,
1630,1631,6/21/2016,Syona Cosmetics,FMCG,Beauty Products & Training to Salons & Spas,Chennai,The Chennai Angels,Seed Funding,"1,50,000",
1631,1632,6/21/2016,PrettySecrets,eCommerce,Women Lingerie Store,Mumbai,"RB Investments PTE Ltd, Orios Venture Partners",Private Equity,"60,00,000",
1632,1633,6/22/2016,SpiderG,Consumer Internet,Online invoice app for SMEs,Pune,"Rahul Kirloskar, Fusion Tech Ventures, Adi Saravanan, Pravin Dongre, Mahendra Doshi",Seed Funding,"1,50,000",
1633,1634,6/23/2016,FarEye,Technology,Logistics Management Software,New Delhi,Saif Partners,Private Equity,"35,00,000",
1634,1635,6/23/2016,The Uolo,Consumer Internet,School Parent Communication App,Bengaluru,"Purvi Ventures, Rajul Garg, Vipin Arora",Seed Funding,"2,10,000",
1635,1636,6/23/2016,Staqu,Technology,Artificial Intelligence based search platform,Gurgaon,Indian Angel Network,Seed Funding,nan,
1636,1637,6/23/2016,Padhopadhao,Consumer Internet,Home Tutors search & Discovery,New Delhi,Rise India,Private Equity,nan,
1637,1638,6/24/2016,Drivify,Consumer Internet,Professional Driver discovery & Booking Mobile app,Mumbai,"Jitendra Gupta, Pankaj Tripathi",Seed Funding,"50,000",
1638,1639,6/24/2016,PratiLipi,Consumer Internet,Multi-Lingual self-publishing platform,Bengaluru,Nexus Venture Partners,Seed Funding,nan,
1639,1640,6/24/2016,ParaBlu,Technology,Cloud Data Security & Privacy Solutions,Bengaluru,Kalaari Capital,Seed Funding,"5,00,000",
1640,1641,6/24/2016,Schedulers Logistics,Logistics,Cold Storage Logistics solutions,Mumbai,GVFL,Private Equity,"60,00,000",
1641,1642,6/24/2016,LEAP India,Others,Supply Chain Equipment & Services provider,Mumbai,Mayfield Ventures,Private Equity,"30,00,000",
1642,1643,6/24/2016,KabadiExpress,Others,Free Door Step Scrap Pickup Service,New Delhi,Undisclosed investor,Seed Funding,"1,48,000",
1643,1644,6/27/2016,YourDost,Consumer Internet,Online counselling & Personal coaching platform,Bengaluru,"SAIF Partners, Aprameya Radhakrishnan, Phanindra Sama, Subba Rao Telidevara, Vibhu Garg, Paula Ravindra Mariwala, Gaurav Bhalotia",Seed Funding,"12,00,000",
1644,1645,6/27/2016,Gomalon,Consumer Internet,Online Spa & Salon discovery & Booking platform,Bengaluru,Undisclosed investor,Seed Funding,"1,00,000",
1645,1646,6/27/2016,Voler Cars,Consumer Internet,Self-Driven Car rental platform,New Delhi,"Kanodia family, Amit Banka",Seed Funding,nan,
1646,1647,6/27/2016,Travelyaari,Consumer Internet,Online ticket booking platform,Bengaluru,GVFL Ltd,Private Equity,"30,00,000",
1647,1648,6/28/2016,FabHotels,Consumer Internet,Online Hotel aggregator & Booking platform,Gurgaon,"Accel Partners, RB Investments",Private Equity,"80,00,000",
1648,1649,6/28/2016,Locanix,Technology,GPS based SaaS Solutions,Ahmedabad,Undisclosed Investors,Seed Funding,"3,00,000",
1649,1650,6/28/2016,LendingKart,Consumer Internet,Online Working Capital Business Loans Platform,Ahmedabad,"Bertelsmann India Investments, Mayfield India, Saama Capital, India Quotient",Private Equity,"3,20,00,000",
1650,1651,6/28/2016,Hello Tax,Consumer Internet,Online Tax Filing Platform,New Delhi,Sanjeev Sinha,Seed Funding,"2,95,000",
1651,1652,6/28/2016,MySuperBrain,Consumer Internet,Online Talent Discovery Platform for Kids,Hyderabad,Soniks Consulting,Seed Funding,nan,
1652,1653,6/28/2016,BlogBeats,Consumer Internet,Online Blogging Platform,Bengaluru,Undisclosed Investors,Seed Funding,nan,
1653,1654,6/29/2016,LetReach,eCommerce,ECommerce SAAS Solutions,New Delhi,vCommission,Private Equity,"1,00,000",
1654,1655,6/29/2016,TrendieApp,Technology,Visual Content Marketing,Kolkata,Harsh Vardhan Hada,Seed Funding,"50,000",
1655,1656,6/29/2016,ImpactGuru,Consumer Internet,Crowdfunding Platform,Mumbai,Piyush Jain,Seed Funding,nan,
1656,1657,6/29/2016,Velvetcase,eCommerce,Online designer jewellery marketplace,Mumbai,"Uniqorn Ventures Fund, TV Mohandas Pai, S Somasegar",Private Equity,"15,00,000",
1657,1658,6/30/2016,Meru Cabs,Consumer Internet,Online/ Mobile Tax Cab booking,Mumbai,Brand Capital,Private Equity,"2,50,00,000",
1658,1659,6/30/2016,Campus Diaries,Consumer Internet,Student focussed Content Discovery portal,Bengaluru,Aarin Capital,Seed Funding,"2,20,000",
1659,1660,6/30/2016,Scripbox,Consumer Internet,Online Mutual Fund Investment platform,Bengaluru,"Omidyar Network, Accel Partners & existing investors",Private Equity,nan,
1660,1661,6/30/2016,Biryani Blues,Food & Beverage,QSR Chain,Gurgaon,Carpediem Capital & Others,Private Equity,"3,68,000",
1661,1662,1/5/2016,MotoMojo,Consumer Internet,Mobile based Vehicle maintenance App,Mumbai,"Niloufer Dundh, Fauzan Rahim, Balamurugan Mani,",Seed Funding,nan,
1662,1663,1/5/2016,Get My Parking,Technology,Parking Technology Platform,New Delhi,The Chennai Angels,Seed Funding,"3,76,000",
1663,1664,1/5/2016,Prescribez,Consumer Internet,Health Service Aggregator Platform,Pune,Ankush Mehta,Seed Funding,"1,45,000",
1664,1665,2/5/2016,Airwood,Technology,Agri Data & Analytics Platform,Chennai,StartupXseed Ventures,Seed Funding,nan,
1665,1666,3/5/2016,Mobikwik,Consumer Internet,Mobile & Digital Wallet,Gurgaon,"GMO Payment Gateway, MediaTek",Private Equity,"5,00,00,000",
1666,1667,3/5/2016,iDreamCareer,Consumer Internet,Career Planning Services Portal,New Delhi,Brand Capital,Private Equity,nan,
1667,1668,3/5/2016,Zwayam,Consumer Internet,Online Recruitment Platform,Bengaluru,Undisclosed Investors,Seed Funding,"2,50,000",
1668,1669,3/5/2016,BoiBanit,Consumer Internet,Online Food Delivery platform,Vadodara,Undisclosed Investors,Seed Funding,nan,
1669,1670,3/5/2016,Zuver,Consumer Internet,Car driver Discovery App,Mumbai,"Shruth & Smith Group, Hermes Group",Seed Funding,"1,80,000",
1670,1671,3/5/2016,Prepathon,Education,Competitive Exam learning platform,Mumbai,Blume Ventures,Private Equity,nan,
1671,1672,4/5/2016,EasyRoads,Consumer Internet,Road Trip planning Mobile app,Mumbai,"Rohan Angrish, Hrishi Oberoi, Rahul Mehta, Kapil Hetamsaria, Pranav Dedhia",Seed Funding,"2,00,000",
1672,1673,4/5/2016,Lenskart,eCommerce,Eyewear & Accessories etailer,New Delhi,"International Finance Corp, TPG Growth, Adveq Management, IDG Ventures, Ratan Tata, Kris Gopalakrishnan",Private Equity,"6,00,00,000",
1673,1674,4/5/2016,Seclore,Technology,Enterprise Security Technology platform,Mumbai,"Sistema Asia Fund, Helion Venture, VentureEast, India Alternatives",Private Equity,"1,20,00,000",
1674,1675,4/5/2016,SolarTown,Technology,Solar Rooftop system installation company,Chennai,Grex.in,Seed Funding,"2,00,000",
1675,1676,4/5/2016,Comarete,Technology,Telecom & Media IT services company,Pune,Grex.in,Seed Funding,"2,00,000",
1676,1677,4/5/2016,MyDentistChoice,eCommerce,Medical Supplies eTailer,Hyderabad,Undisclosed Investors,Seed Funding,"1,50,000",
1677,1678,4/5/2016,Active.ai,Technology,Intelligent Tech platform for Finance vertical,Singapore,Kalaari Capital Accelerator Program,Seed Funding,"5,00,000",
1678,1679,4/5/2016,Affordplan,Technology,Affordable non-emergency medical service health plans,New Delhi,Kalaari Capital Accelerator Program,Seed Funding,"5,00,000",
1679,1680,4/5/2016,Indee,Consumer Internet,Web Video Streaming Platform,Bengaluru,Kalaari Capital Accelerator Program,Seed Funding,"5,00,000",
1680,1681,5/5/2016,Unbxd,Technology,eCommerce product discovery software,New Delhi,"IDG Ventures, Inventus Capital, Indian Angel Network",Private Equity,nan,
1681,1682,5/5/2016,WebAlligator,Consumer Internet,Cloud Based Software Solutions,Bengaluru,Group of undisclosed Angel Investors & HNIs,Seed Funding,"3,75,000",
1682,1683,6/5/2016,EduAce Services,Education,Education Workshops & mentoring programs,Lucknow,MoMagic Technologies,Private Equity,"10,00,000",
1683,1684,6/5/2016,Meesho,eCommerce,Social commerce platform,Bengaluru,Rajul Garg & Others,Seed Funding,nan,
1684,1685,7/5/2016,Zebroads,Logistics,Logistics and Warehousing services,Hyderabad,Undisclosed Investors,Seed Funding,"75,000",
1685,1686,9/5/2016,Locus,Technology,Logistics Intelligence platform,Bengaluru,"Exfinity Venture Partners, Blume Ventures, BeeNext, Rajesh Ranavat",Private Equity,"27,50,000",
1686,1687,9/5/2016,Toko Innovations,Consumer Internet,Children\\xe2\\x80\\x99s Entertainment Portal,Bengaluru,"Roopak Saluja, Vishal Khare",Seed Funding,"4,50,000",
1687,1688,9/5/2016,Rentickle,eCommerce,"Furniture, appliances Portal",New Delhi,"Manish Kheterpal, Vinay Mittal, Dinesh Mittal, Sandeep Gupta",Seed Funding,"2,50,000",
1688,1689,10/5/2016,HealthifyMe,Consumer Internet,Health & Fitness App,Bengaluru,"IDG Ventures India, Inventus Capital, Blume Ventures",Private Equity,"60,00,000",
1689,1690,10/5/2016,Zarget,Consumer Internet,Conversion Rate Optimization Platform,Chennai,"Accel Partners, Matrix Partners, Girish Mathrubootham",Private Equity,"15,00,000",
1690,1691,10/5/2016,InnoNano Research,Technology,Clean Water Technology,Chennai,NanoHoldings,Private Equity,"1,80,00,000",
1691,1692,10/5/2016,SchoolWear,eCommerce,School Uniform & Supplies Marketplace,Mumbai,Undisclosed Investors,Seed Funding,"15,00,000",
1692,1693,10/5/2016,Swiggy,Consumer Internet,Food Delivery Platform,Bengaluru,"Norwest Venture Partners, DST Global, Accel Partners",Private Equity,"70,00,000",
1693,1694,11/5/2016,Zenify,Consumer Internet,Home rental Discovery & Booking Portal,Bengaluru,Undisclosed Investors,Private Equity,"9,00,000",
1694,1695,11/5/2016,Faircent,Consumer Internet,Online Peer to Peer Lending platform,Gurgaon,"JM Financial Products Ltd, Arun Tadanki, Doreswamy Nandkishore, Kshitij Jain",Private Equity,nan,
1695,1696,11/5/2016,Fractal Analytics,Technology,Data Analytics Company,Mumbai,Khazanah Nasional Berhad,Private Equity,"10,00,00,000",
1696,1697,12/5/2016,Unacademy,Consumer Internet,Free Online Education Platform,Bengaluru,"Blume Ventures, Rajan Anandan, Sumit Jain, Aprameya Radhakrishna, Sujeet Kumar, Phanindra Sama",Seed Funding,"5,00,000",
